branch_id,from_bus,to_bus,type,initial_status
B01,1,2,section,1
B02,2,3,section,1
B03,3,4,section,1
B04,4,5,section,1
B05,5,6,section,1
B06,6,7,section,1
B07,7,8,section,1
B08,8,9,section,1
B09,9,10,section,1
B10,10,11,section,1
B11,11,12,section,1
B12,12,13,section,1
B13,13,14,section,1
B14,14,15,section,1
B15,15,16,section,1
B16,16,17,section,1
B17,17,18,section,1
B18,3,19,section,1
B19,19,20,section,1
B20,20,21,section,1
B21,21,22,section,1
B22,6,23,section,1
B23,23,24,section,1
B24,24,25,section,1
B25,9,26,section,1
B26,26,27,section,1
B27,27,28,section,1
B28,28,29,section,1
B29,29,30,section,1
B30,30,31,section,1
B31,31,32,section,1
B32,32,33,section,1
T01,8,21,tie,0
T02,9,15,tie,0
T03,12,22,tie,0
T04,18,33,tie,0
T05,25,29,tie,0
