t,node,Va,Vb,Vc,Ia,Ib,Ic
0.00000,1,-503.103625,-6579.721982,7082.825607,-503.103625,-6579.721982,7082.825607
0.00010,1,-112.806322,-6104.829172,6225.151081,-112.806322,-6104.829172,6225.151081
0.00020,1,-28.478647,-6618.514573,6687.656510,-28.478647,-6618.514573,6687.656510
0.00030,1,205.232513,-7150.909524,7067.843687,205.232513,-7150.909524,7067.843687
0.00040,1,608.635167,-7140.535854,6769.341524,608.635167,-7140.535854,6769.341524
0.00050,1,860.667802,-6852.354228,6288.819910,860.667802,-6852.354228,6288.819910
0.00060,1,1004.143090,-7085.441266,6343.959165,1004.143090,-7085.441266,6343.959165
0.00070,1,1281.092642,-7545.527802,6496.264727,1281.092642,-7545.527802,6496.264727
0.00080,1,1585.254193,-7432.073538,6106.544222,1585.254193,-7432.073538,6106.544222
0.00090,1,1829.651703,-7191.915366,5662.925133,1829.651703,-7191.915366,5662.925133
0.00100,1,2018.174782,-7512.250939,5824.307918,2018.174782,-7512.250939,5824.307918
0.00110,1,2273.262970,-7798.695304,5852.376609,2273.262970,-7798.695304,5852.376609
0.00120,1,2594.738816,-7565.668763,5286.941079,2594.738816,-7565.668763,5286.941079
0.00130,1,2777.433481,-7486.401767,5059.843203,2777.433481,-7486.401767,5059.843203
0.00140,1,2968.449338,-7774.411130,5191.711086,2968.449338,-7774.411130,5191.711086
0.00150,1,3270.232236,-7885.854417,4991.184339,3270.232236,-7885.854417,4991.184339
0.00160,1,3514.628602,-7678.044345,4529.623793,3514.628602,-7678.044345,4529.623793
0.00170,1,3695.310354,-7610.365483,4329.674400,3695.310354,-7610.365483,4329.674400
0.00180,1,3910.099713,-7896.172805,4426.347441,3910.099713,-7896.172805,4426.347441
0.00190,1,4162.491708,-7889.578170,4126.182279,4162.491708,-7889.578170,4126.182279
0.00200,1,4403.947279,-7613.418524,3634.453730,4403.947279,-7613.418524,3634.453730
0.00210,1,4569.851581,-7688.681827,3595.192049,4569.851581,-7688.681827,3595.192049
0.00220,1,4747.466788,-7847.042270,3558.851948,4747.466788,-7847.042270,3558.851948
0.00230,1,5031.508576,-7729.326489,3141.027927,5031.508576,-7729.326489,3141.027927
0.00240,1,5209.595211,-7527.009492,2795.404581,5209.595211,-7527.009492,2795.404581
0.00250,1,5343.204090,-7573.101878,2741.363361,5343.204090,-7573.101878,2741.363361
0.00260,1,5567.753674,-7677.623221,2589.830245,5567.753674,-7677.623221,2589.830245
0.00270,1,5770.634281,-7480.335812,2196.323537,5770.634281,-7480.335812,2196.323537
0.00280,1,5943.092124,-7284.789951,1863.885102,5943.092124,-7284.789951,1863.885102
0.00290,1,6064.134832,-7377.782821,1833.054838,6064.134832,-7377.782821,1833.054838
0.00300,1,6248.140474,-7354.091598,1626.591835,6248.140474,-7354.091598,1626.591835
0.00310,1,6465.362243,-7098.529122,1144.326920,6465.362243,-7098.529122,1144.326920
0.00320,1,6558.202406,-6996.884477,980.938278,6558.202406,-6996.884477,980.938278
0.00330,1,6678.410415,-7001.720629,873.300444,6678.410415,-7001.720629,873.300444
0.00340,1,6874.741328,-6909.745654,560.968335,6874.741328,-6909.745654,560.968335
0.00350,1,7005.253406,-6668.908819,204.870126,7005.253406,-6668.908819,204.870126
0.00360,1,7090.473794,-6578.593156,0.668161,7090.473794,-6578.593156,0.668161
0.00370,1,7156.178597,-6565.319188,-163.540261,7156.178597,-6565.319188,-163.540261
0.00380,1,7270.212665,-6422.805201,-545.440958,7270.212665,-6422.805201,-545.440958
0.00390,1,7380.973406,-6206.406982,-941.506976,7380.973406,-6206.406982,-941.506976
0.00400,1,7409.046251,-6130.063726,-1037.519991,7409.046251,-6130.063726,-1037.519991
0.00410,1,7497.723007,-6030.332001,-1187.155536,7497.723007,-6030.332001,-1187.155536
0.00420,1,7671.214837,-5764.746776,-1595.447358,7671.214837,-5764.746776,-1595.447358
0.00430,1,7715.773346,-5569.173312,-1860.070284,7715.773346,-5569.173312,-1860.070284
0.00440,1,7696.208654,-5495.299502,-1985.898841,7696.208654,-5495.299502,-1985.898841
0.00450,1,7767.793293,-5353.223285,-2234.206870,7767.793293,-5353.223285,-2234.206870
0.00460,1,7878.706323,-5082.386883,-2583.930467,7878.706323,-5082.386883,-2583.930467
0.00470,1,7900.617710,-4871.293768,-2825.490722,7900.617710,-4871.293768,-2825.490722
0.00480,1,7856.099067,-4788.808722,-2930.918131,7856.099067,-4788.808722,-2930.918131
0.00490,1,7914.544409,-4583.160102,-3190.336634,7914.544409,-4583.160102,-3190.336634
0.00500,1,8001.789463,-4283.608536,-3550.599136,8001.789463,-4283.608536,-3550.599136
0.00510,1,7946.917775,-4119.181527,-3716.626078,7946.917775,-4119.181527,-3716.626078
0.00520,1,7885.692775,-3995.929883,-3832.820224,7885.692775,-3995.929883,-3832.820224
0.00530,1,7953.889756,-3731.171828,-4137.823195,7953.889756,-3731.171828,-4137.823195
0.00540,1,7968.967132,-3449.712870,-4421.878917,7968.967132,-3449.712870,-4421.878917
0.00550,1,7868.754358,-3292.643658,-4555.673111,7868.754358,-3292.643658,-4555.673111
0.00560,1,7822.895728,-3119.486231,-4705.537577,7822.895728,-3119.486231,-4705.537577
0.00570,1,7839.432386,-2835.812845,-4970.264462,7839.432386,-2835.812845,-4970.264462
0.00580,1,7815.448289,-2561.138123,-5253.068484,7815.448289,-2561.138123,-5253.068484
0.00590,1,7681.360215,-2408.090765,-5326.184496,7681.360215,-2408.090765,-5326.184496
0.00600,1,7610.290741,-2201.945509,-5468.367279,7610.290741,-2201.945509,-5468.367279
0.00610,1,7628.904576,-1880.493749,-5786.309405,7628.904576,-1880.493749,-5786.309405
0.00620,1,7517.729487,-1654.174015,-5943.406365,7517.729487,-1654.174015,-5943.406365
0.00630,1,7371.033262,-1476.464103,-6020.994097,7371.033262,-1476.464103,-6020.994097
0.00640,1,7309.910387,-1228.477434,-6194.912024,7309.910387,-1228.477434,-6194.912024
0.00650,1,7253.291491,-932.908295,-6441.265477,7253.291491,-932.908295,-6441.265477
0.00660,1,7126.566962,-696.010618,-6581.216330,7126.566962,-696.010618,-6581.216330
0.00670,1,6951.357164,-523.623208,-6620.468890,6951.357164,-523.623208,-6620.468890
0.00680,1,6864.621640,-249.671749,-6798.045698,6864.621640,-249.671749,-6798.045698
0.00690,1,6778.321519,52.028829,-6972.922914,6778.321519,52.028829,-6972.922914
0.00700,1,6692.557398,266.896565,-7005.439350,6692.557398,266.896565,-7005.439350
0.00710,1,6555.325150,593.269561,-7062.920704,6555.325150,593.269561,-7062.920704
0.00720,1,6401.858376,941.798251,-7221.348831,6401.858376,941.798251,-7221.348831
0.00730,1,6284.784028,1077.051717,-7328.338500,6284.784028,1077.051717,-7328.338500
0.00740,1,6111.749209,1234.450629,-7391.988434,6111.749209,1234.450629,-7391.988434
