t,node,Va,Vb,Vc,Ia,Ib,Ic
0,1,-503.103625,-6579.721982,7082.825607,-503.103625,-6579.721982,7082.825607
0.0001,1,-112.806322,-6104.829172,6225.151081,-112.806322,-6104.829172,6225.151081
0.0002,1,-28.478647,-6618.514573,6687.65651,-28.478647,-6618.514573,6687.65651
0.0003,1,205.232513,-7150.909524,7067.843687,205.232513,-7150.909524,7067.843687
0.0004,1,608.635167,-7140.535854,6769.341524,608.635167,-7140.535854,6769.341524
0.0005,1,860.667802,-6852.354228,6288.81991,860.667802,-6852.354228,6288.81991
0.0006,1,1004.14309,-7085.441266,6343.959165,1004.14309,-7085.441266,6343.959165
0.0007,1,1281.092642,-7545.527802,6496.264727,1281.092642,-7545.527802,6496.264727
0.0008,1,1585.254193,-7432.073538,6106.544222,1585.254193,-7432.073538,6106.544222
0.0009,1,1829.651703,-7191.915366,5662.925133,1829.651703,-7191.915366,5662.925133
0.001,1,2018.174782,-7512.250939,5824.307918,2018.174782,-7512.250939,5824.307918
0.0011,1,2273.26297,-7798.695304,5852.376609,2273.26297,-7798.695304,5852.376609
0.0012,1,2594.738816,-7565.668763,5286.941079,2594.738816,-7565.668763,5286.941079
0.0013,1,2777.433481,-7486.401767,5059.843203,2777.433481,-7486.401767,5059.843203
0.0014,1,2968.449338,-7774.41113,5191.711086,2968.449338,-7774.41113,5191.711086
0.0015,1,3270.232236,-7885.854417,4991.184339,3270.232236,-7885.854417,4991.184339
0.0016,1,3514.628602,-7678.044345,4529.623793,3514.628602,-7678.044345,4529.623793
0.0017,1,3695.310354,-7610.365483,4329.6744,3695.310354,-7610.365483,4329.6744
0.0018,1,3910.099713,-7896.172805,4426.347441,3910.099713,-7896.172805,4426.347441
0.0019,1,4162.491708,-7889.57817,4126.182279,4162.491708,-7889.57817,4126.182279
0.002,1,4403.947279,-7613.418524,3634.45373,4403.947279,-7613.418524,3634.45373
0.0021,1,4569.851581,-7688.681827,3595.192049,4569.851581,-7688.681827,3595.192049
0.0022,1,4747.466788,-7847.04227,3558.851948,4747.466788,-7847.04227,3558.851948
0.0023,1,5031.508576,-7729.326489,3141.027927,5031.508576,-7729.326489,3141.027927
0.0024,1,5209.595211,-7527.009492,2795.404581,5209.595211,-7527.009492,2795.404581
0.0025,1,5343.20409,-7573.101878,2741.363361,5343.20409,-7573.101878,2741.363361
0.0026,1,5567.753674,-7677.623221,2589.830245,5567.753674,-7677.623221,2589.830245
0.0027,1,5770.634281,-7480.335812,2196.323537,5770.634281,-7480.335812,2196.323537
0.0028,1,5943.092124,-7284.789951,1863.885102,5943.092124,-7284.789951,1863.885102
0.0029,1,6064.134832,-7377.782821,1833.054838,6064.134832,-7377.782821,1833.054838
0.003,1,6248.140474,-7354.091598,1626.591835,6248.140474,-7354.091598,1626.591835
0.0031,1,6465.362243,-7098.529122,1144.32692,6465.362243,-7098.529122,1144.32692
0.0032,1,6558.202406,-6996.884477,980.938278,6558.202406,-6996.884477,980.938278
0.0033,1,6678.410415,-7001.720629,873.300444,6678.410415,-7001.720629,873.300444
0.0034,1,6874.741328,-6909.745654,560.968335,6874.741328,-6909.745654,560.968335
0.0035,1,7005.253406,-6668.908819,204.870126,7005.253406,-6668.908819,204.870126
0.0036,1,7090.473794,-6578.593156,0.668161,7090.473794,-6578.593156,0.668161
0.0037,1,7156.178597,-6565.319188,-163.540261,7156.178597,-6565.319188,-163.540261
0.0038,1,7270.212665,-6422.805201,-545.440958,7270.212665,-6422.805201,-545.440958
0.0039,1,7380.973406,-6206.406982,-941.506976,7380.973406,-6206.406982,-941.506976
0.004,1,7409.046251,-6130.063726,-1037.519991,7409.046251,-6130.063726,-1037.519991
0.0041,1,7497.723007,-6030.332001,-1187.155536,7497.723007,-6030.332001,-1187.155536
0.0042,1,7671.214837,-5764.746776,-1595.447358,7671.214837,-5764.746776,-1595.447358
0.0043,1,7715.773346,-5569.173312,-1860.070284,7715.773346,-5569.173312,-1860.070284
0.0044,1,7696.208654,-5495.299502,-1985.898841,7696.208654,-5495.299502,-1985.898841
0.0045,1,7767.793293,-5353.223285,-2234.20687,7767.793293,-5353.223285,-2234.20687
0.0046,1,7878.706323,-5082.386883,-2583.930467,7878.706323,-5082.386883,-2583.930467
0.0047,1,7900.61771,-4871.293768,-2825.490722,7900.61771,-4871.293768,-2825.490722
