action_id,switch_id,from_bus,to_bus,type,initial_status
0,S01,1,2,sectionalizer,1
1,S02,2,3,sectionalizer,1
2,S03,3,4,sectionalizer,1
3,S04,4,5,sectionalizer,1
4,S05,5,6,sectionalizer,1
5,S06,6,7,sectionalizer,1
6,S07,7,8,sectionalizer,1
7,S08,8,9,sectionalizer,1
8,S09,9,10,sectionalizer,1
9,S10,10,11,sectionalizer,1
10,S11,11,12,sectionalizer,1
11,S12,12,13,sectionalizer,1
12,S13,13,14,sectionalizer,1
13,S14,14,15,sectionalizer,1
14,S15,15,16,sectionalizer,1
15,S16,16,17,sectionalizer,1
16,S17,17,18,sectionalizer,1
17,S18,2,19,sectionalizer,1
18,S19,19,20,sectionalizer,1
19,S20,20,21,sectionalizer,1
20,S21,21,22,sectionalizer,1
21,S22,3,23,sectionalizer,1
22,S23,23,24,sectionalizer,1
23,S24,24,25,sectionalizer,1
24,S25,6,26,sectionalizer,1
25,S26,26,27,sectionalizer,1
26,S27,27,28,sectionalizer,1
27,S28,28,29,sectionalizer,1
28,S29,29,30,sectionalizer,1
29,S30,30,31,sectionalizer,1
30,S31,31,32,sectionalizer,1
31,S32,32,33,sectionalizer,1
32,T01,8,21,tie,0
33,T02,9,15,tie,0
34,T03,12,22,tie,0
35,T04,18,33,tie,0
36,T05,25,29,tie,0
